element,222..,42.2,432,6..,6/m..,622
Li,9,0,1,0,0,0
N,2,0,0,0,0,0
O,1,1,0,0,0,3
Na,1,0,4,0,0,0
Mg,0,0,3,0,0,0
K,6,0,8,1,0,6
Ca,0,0,6,0,0,0
Sc,0,0,1,0,0,0
V,0,0,1,0,0,0
Co,1,0,0,0,0,0
Cu,13,0,0,0,0,0
Rb,4,0,4,1,0,0
Sr,0,0,5,0,0,0
Y,0,0,2,0,0,0
Zr,0,0,3,0,0,0
Nb,0,0,0,0,1,0
Mo,0,0,1,0,0,0
Sb,0,0,1,0,0,0
Cs,4,0,2,1,0,0
Ba,0,0,7,0,0,0
La,0,0,17,0,0,0
Ce,0,0,7,0,0,0
Pr,0,0,2,0,1,0
Nd,0,0,2,0,0,0
Sm,0,0,3,0,0,0
Eu,0,0,5,0,0,0
Gd,0,0,1,0,0,0
Tb,0,0,2,0,0,0
Dy,0,0,2,0,0,0
Ho,0,0,1,0,0,0
Er,0,0,2,0,1,0
Tm,0,0,2,0,0,0
Yb,0,0,5,0,0,0
Lu,0,0,3,0,0,0
Hf,0,0,4,0,0,0
Ta,0,0,0,0,1,0
Os,0,0,1,0,0,0
Tl,6,0,0,0,0,0
Pb,1,0,0,0,0,0
Th,0,0,7,0,0,0
Pa,0,0,1,0,0,0
U,0,0,15,0,0,0
Np,0,0,1,0,0,0
Pu,0,0,2,0,0,0
Am,0,0,1,0,0,0
Cm,0,0,1,0,0,0
